Customer;State;Customer Lifetime Value;Response;Coverage;Education;Effective To Date;EmploymentStatus;Gender;Income;Location Code;Marital Status;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Policy Type;Policy;Renew Offer Type;Sales Channel;Total Claim Amount;Vehicle Class;Vehicle Size;timestamp;usuario;bot
BU79786;Washington;2763519279;No;Basic;Bachelor;2/24/11;Employed;F;56274;Suburban;Married;69;32;5;0;1;Corporate Auto;Corporate L3;Offer1;Agent;384811147;Two-Door Car;Medsize;;;
QZ44356;Arizona;6979535903;No;Extended;Bachelor;1/31/11;Unemployed;F;0;Suburban;Single;94;13;42;0;8;Personal Auto;Personal L3;Offer3;Agent;1131464935;Four-Door Car;Medsize;;;
AI49188;Nevada;1288743165;No;Premium;Bachelor;2/19/11;Employed;F;48767;Suburban;Married;108;18;38;0;2;Personal Auto;Personal L3;Offer1;Agent;566472247;Two-Door Car;Medsize;;;
WW63253;California;7645861827;No;Basic;Bachelor;1/20/11;Unemployed;M;0;Suburban;Married;106;18;65;0;7;Corporate Auto;Corporate L2;Offer1;Call Center;529881344;SUV;Medsize;;;
HB64268;Washington;2813692575;No;Basic;Bachelor;2011-03-02 00:00:00;Employed;M;43836;Rural;Single;73;12;44;0;1;Personal Auto;Personal L1;Offer1;Agent;138130879;Four-Door Car;Medsize;;;
OC83172;Oregon;82562978;Yes;Basic;Bachelor;1/25/11;Employed;F;62902;Rural;Married;69;14;94;0;2;Personal Auto;Personal L3;Offer2;Web;159383042;Two-Door Car;Medsize;;;
XZ87318;Oregon;5380898636;Yes;Basic;College;2/24/11;Employed;F;55350;Suburban;Married;67;0;13;0;9;Corporate Auto;Corporate L3;Offer1;Agent;321,6;Four-Door Car;Medsize;;;
CF85061;Arizona;7216100311;No;Premium;Master;1/18/11;Unemployed;M;0;Urban;Single;101;0;68;0;4;Corporate Auto;Corporate L3;Offer1;Agent;36302968;Four-Door Car;Medsize;;;
DY87989;Oregon;2412750402;Yes;Basic;Bachelor;1/26/11;Medical Leave;M;14072;Suburban;Divorced;71;13;3;0;2;Corporate Auto;Corporate L3;Offer1;Agent;511,2;Four-Door Car;Medsize;;;
BQ94931;Oregon;7388178085;No;Extended;College;2/17/11;Employed;F;28812;Urban;Married;93;17;7;0;8;Special Auto;Special L2;Offer2;Branch;425527834;Four-Door Car;Medsize;;;
SX51350;California;4738992022;No;Basic;College;2/21/11;Unemployed;M;0;Suburban;Single;67;23;5;0;3;Personal Auto;Personal L3;Offer1;Agent;482,4;Four-Door Car;Small;;;
VQ65197;California;8197197078;No;Basic;College;2011-06-01 00:00:00;Unemployed;F;0;Suburban;Married;110;27;87;0;3;Personal Auto;Personal L3;Offer2;Agent;528;SUV;Medsize;;;
